60.0 	 0.0 	25.0	0.1109 	0.6816 	0.1039 	0.1036 	0.7852 	0.3830	0.04178	0.04215	0.04804	0.04845	0.07773	0.07845	0.08425	0.08501	0.15860	0.16020	0.19289	0.23508	0.23754	0.27243	
61.0 	 0.0 	25.0	0.1114 	0.6783 	0.1067 	0.1036 	0.7819 	0.3854	0.04164	0.04201	0.04793	0.04834	0.07742	0.07813	0.08397	0.08473	0.15835	0.15994	0.19284	0.23450	0.23696	0.27209	
62.0 	 0.0 	25.0	0.1120 	0.6748 	0.1096 	0.1036 	0.7784 	0.3879	0.04150	0.04186	0.04783	0.04823	0.07710	0.07780	0.08369	0.08444	0.15811	0.15970	0.19283	0.23393	0.23639	0.27177	
63.0 	 0.0 	25.0	0.1127 	0.6711 	0.1126 	0.1035 	0.7746 	0.3905	0.04135	0.04171	0.04772	0.04813	0.07676	0.07747	0.08340	0.08415	0.15789	0.15947	0.19286	0.23337	0.23581	0.27148	
64.0 	 0.0 	25.0	0.1135 	0.6673 	0.1158 	0.1033 	0.7707 	0.3932	0.04120	0.04156	0.04762	0.04802	0.07641	0.07711	0.08310	0.08385	0.15768	0.15927	0.19295	0.23280	0.23524	0.27123	
65.0 	 0.0 	25.0	0.1144 	0.6633 	0.1191 	0.1031 	0.7664 	0.3960	0.04104	0.04140	0.04752	0.04792	0.07605	0.07674	0.08280	0.08354	0.15750	0.15908	0.19308	0.23223	0.23466	0.27101	
66.0 	 0.0 	25.0	0.1157 	0.6585 	0.1230 	0.1028 	0.7613 	0.3986	0.04086	0.04122	0.04742	0.04782	0.07563	0.07632	0.08246	0.08319	0.15736	0.15894	0.19338	0.23165	0.23408	0.27090	
67.0 	 0.0 	25.0	0.1173 	0.6531 	0.1275 	0.1022 	0.7552 	0.4011	0.04067	0.04103	0.04732	0.04772	0.07515	0.07584	0.08208	0.08282	0.15728	0.15886	0.19385	0.23105	0.23348	0.27089	
68.0 	 0.0 	25.0	0.1193 	0.6469 	0.1324 	0.1014 	0.7483 	0.4036	0.04046	0.04082	0.04723	0.04763	0.07463	0.07531	0.08168	0.08241	0.15724	0.15882	0.19446	0.23044	0.23287	0.27098	
70.0 	 0.0 	25.0	0.1243 	0.6323 	0.1440 	0.0993 	0.7316 	0.4085	0.03999	0.04033	0.04705	0.04744	0.07340	0.07407	0.08075	0.08147	0.15730	0.15889	0.19617	0.22915	0.23158	0.27144	
 0.0 	180.0 	25.0	0.0864 	0.7529 	0.0427 	0.1181 	0.8710 	0.2789	0.04415	0.04457	0.04899	0.04944	0.08382	0.08464	0.08887	0.08973	0.15897	0.16060	0.18543	0.24259	0.24518	0.27175	
 5.0 	180.0 	25.0	0.0837 	0.7436 	0.0533 	0.1193 	0.8629 	0.2971	0.04354	0.04395	0.04825	0.04869	0.08272	0.08352	0.08764	0.08848	0.15643	0.15802	0.18231	0.23898	0.24151	0.26752	
10.0 	180.0 	25.0	0.0806 	0.7369 	0.0614 	0.1210 	0.8580 	0.3071	0.04304	0.04345	0.04759	0.04802	0.08188	0.08267	0.08664	0.08746	0.15417	0.15573	0.17934	0.23599	0.23849	0.26382	
20.0 	180.0 	25.0	0.0748 	0.7257 	0.0757 	0.1238 	0.8495 	0.3206	0.04218	0.04257	0.04645	0.04687	0.08043	0.08121	0.08491	0.08572	0.15029	0.15182	0.17422	0.23094	0.23339	0.25754	
21.0 	180.0 	25.0	0.0743 	0.7246 	0.0771 	0.1240 	0.8486 	0.3218	0.04210	0.04249	0.04634	0.04676	0.08029	0.08107	0.08475	0.08556	0.14994	0.15147	0.17376	0.23048	0.23292	0.25697	
